pID,condition,block_no,trial_no,stimulus,response,correct,rt,age,gender
55,ab,1,1,ll,ll,TRUE,4899.8,19,female
55,ab,1,2,ll,ll,TRUE,1735.1,19,female
55,ab,1,3,hh,hl,FALSE,7434.1,19,female
55,ab,1,4,ll,hl,FALSE,4276.4,19,female
55,ab,1,5,ll,ll,TRUE,2674.2,19,female
55,ab,1,6,hh,hh,TRUE,750.5999999999999,19,female
55,ab,1,7,ll,ll,TRUE,3651.1000000000004,19,female
55,ab,1,8,lh,hh,FALSE,1472.8000000000002,19,female
55,ab,1,9,hh,hh,TRUE,1109.6999999999998,19,female
55,ab,1,10,ll,ll,TRUE,2060.1,19,female
55,ab,1,11,ll,ll,TRUE,2200.1,19,female
55,ab,1,12,lh,hl,FALSE,7296.1,19,female
55,ab,1,13,lh,hl,FALSE,3521.6000000000004,19,female
55,ab,1,14,hl,hl,TRUE,4022,19,female
55,ab,1,15,lh,hl,FALSE,5995.9,19,female
55,ab,1,16,lh,hl,FALSE,1706.9,19,female
55,ab,1,17,ll,ll,TRUE,1391.3000000000002,19,female
55,ab,1,18,hl,ll,FALSE,1624.3000000000002,19,female
55,ab,1,19,ll,hl,FALSE,7037.5,19,female
55,ab,1,20,lh,hh,FALSE,2027.5,19,female
55,ab,1,21,ll,ll,TRUE,4466,19,female
55,ab,1,22,ll,ll,TRUE,3357.3,19,female
55,ab,1,23,hl,hl,TRUE,2638.9,19,female
55,ab,1,24,hl,hh,FALSE,1550.3000000000002,19,female
55,ab,1,25,hh,hh,TRUE,1155.5,19,female
55,ab,1,26,hl,hh,FALSE,807.5999999999999,19,female
55,ab,1,27,hh,hh,TRUE,704.7,19,female
55,ab,1,28,ll,ll,TRUE,1446.6,19,female
55,ab,1,29,lh,hl,FALSE,4549.878,19,female
55,ab,1,30,ll,ll,TRUE,2366.4,19,female
55,ab,1,31,hh,hh,TRUE,920.8,19,female
55,ab,1,32,ll,ll,TRUE,2869.6,19,female
55,ab,1,33,lh,ll,FALSE,2755.9,19,female
55,ab,1,34,hl,hh,FALSE,1172.3000000000002,19,female
55,ab,1,35,hl,hh,FALSE,2648.7,19,female
55,ab,1,36,hl,hh,FALSE,1423.6999999999998,19,female
55,ab,1,37,ll,ll,TRUE,2286.9,19,female
55,ab,1,38,lh,hl,FALSE,4765.2,19,female
55,ab,1,39,ll,ll,TRUE,1565,19,female
55,ab,1,40,hh,hh,TRUE,7303.5,19,female
55,ab,1,41,lh,hh,FALSE,1327.8000000000002,19,female
55,ab,1,42,lh,ll,FALSE,1172,19,female
55,ab,1,43,hh,hh,TRUE,1221,19,female
55,ab,1,44,ll,hl,FALSE,8688.1,19,female
55,ab,1,45,hl,hh,FALSE,1271.9,19,female
55,ab,1,46,hl,ll,FALSE,5671.1,19,female
55,ab,1,47,ll,ll,TRUE,4537.7,19,female
55,ab,1,48,hh,hh,TRUE,2075.8,19,female
55,ab,1,49,ll,ll,TRUE,5952.7,19,female
55,ab,1,50,ll,ll,TRUE,1154.1,19,female
55,ab,1,51,hh,hh,TRUE,1300.1999999999998,19,female
55,ab,1,52,ll,ll,TRUE,2953.4,19,female
55,ab,1,53,lh,hh,FALSE,1356.6,19,female
55,ab,1,54,lh,hl,FALSE,3494.6000000000004,19,female
55,ab,1,55,hh,hh,TRUE,815.5999999999999,19,female
55,ab,1,56,hh,hl,FALSE,3499.2,19,female
55,ab,1,57,hl,hh,FALSE,1726.9,19,female
55,ab,1,58,ll,lh,FALSE,7527.9,19,female
